Fecha,KWH_REC,KWH_ENT,KVARH_Q1,KVARH_Q2,KVARH_Q3,KVARH_Q4
2026-05-01 05:10:00,174.12245178222656,0.0,97.1417465209961,0.0,0.0,0.0
2026-05-01 05:15:00,174.65565490722656,0.0,99.0108871459961,0.0,0.0,0.0
2026-05-01 05:20:00,173.0947723388672,0.0,96.98588562011719,0.0,0.0,0.0
2026-05-01 05:25:00,154.17440795898438,0.0,62.350040435791016,0.0,0.0,0.0
2026-05-01 05:30:00,144.89906311035156,0.0,44.8586311340332,0.0,0.0,0.0
2026-05-01 05:35:00,145.29226684570312,0.0,45.78438949584961,0.0,0.0,0.0
2026-05-01 05:40:00,144.8561248779297,0.0,44.70164489746094,0.0,0.0,0.0
2026-05-01 05:45:00,145.2413787841797,0.0,45.27220916748047,0.0,0.0,0.0
2026-05-01 05:50:00,148.4393310546875,0.0,45.63533401489258,0.0,0.0,0.0
2026-05-01 05:55:00,148.90737915039062,0.0,46.630367279052734,0.0,0.0,0.0
2026-05-01 06:00:00,149.72042846679688,0.0,47.54193115234375,0.0,0.0,0.0
2026-05-01 06:05:00,151.90524291992188,0.0,46.445003509521484,0.0,0.0,0.0
2026-05-01 06:10:00,154.66690063476562,0.0,51.40277099609375,0.0,0.0,0.0
2026-05-01 06:15:00,161.8115997314453,0.0,65.25550842285156,0.0,0.0,0.0
2026-05-01 06:20:00,151.1316375732422,0.0,49.23784637451172,0.0,0.0,0.0
2026-05-01 06:25:00,144.13616943359375,0.0,110.72432708740234,0.0,0.0,0.0
2026-05-01 06:30:00,181.4959259033203,0.0,166.7019805908203,0.0,0.0,0.0
2026-05-01 06:35:00,157.5076141357422,0.0,163.83653259277344,0.0,0.0,0.0
2026-05-01 06:40:00,125.2697982788086,0.0,165.2036895751953,0.0,0.0,0.0
2026-05-01 06:45:00,42.23842239379883,0.2500758171081543,110.76445770263672,11.169133186340332,0.0,0.0
2026-05-01 06:50:00,28.817882537841797,0.0,0.0,96.56600952148438,0.0,0.0
2026-05-01 06:55:00,90.48246002197266,0.0,0.0,98.6225357055664,0.0,0.0
2026-05-01 07:00:00,153.88783264160156,0.0,0.0,102.48722839355469,0.0,0.0
2026-05-01 07:05:00,219.55014038085938,0.0,0.0,105.54255676269531,0.0,0.0
2026-05-01 07:10:00,288.6488952636719,0.0,0.0,107.2141342163086,0.0,0.0
2026-05-01 07:15:00,374.88201904296875,0.0,0.0,87.02985382080078,0.0,0.0
2026-05-01 07:20:00,445.21099853515625,0.0,0.0,93.65837860107422,0.0,0.0
2026-05-01 07:25:00,514.8121337890625,0.0,0.0,105.6802978515625,0.0,0.0
2026-05-01 07:30:00,528.033935546875,0.0,0.0,177.1475830078125,0.0,0.0
2026-05-01 07:35:00,563.8427734375,0.0,0.0,215.0270538330078,0.0,0.0
2026-05-01 07:40:00,629.8016357421875,0.0,0.0,226.51129150390625,0.0,0.0
2026-05-01 07:45:00,695.854736328125,0.0,0.0,227.32205200195312,0.0,0.0
2026-05-01 07:50:00,757.1069946289062,0.0,0.0,237.34005737304688,0.0,0.0
2026-05-01 07:55:00,801.1712646484375,0.0,0.0,245.8582763671875,0.0,0.0
2026-05-01 08:00:00,830.1661987304688,0.0,0.0,243.2784881591797,0.0,0.0
2026-05-01 08:05:00,852.705322265625,0.0,0.0,237.3452911376953,0.0,0.0
2026-05-01 08:10:00,896.3955688476562,0.0,0.0,208.34527587890625,0.0,0.0
2026-05-01 08:15:00,932.004150390625,0.0,0.0,193.8157501220703,0.0,0.0
2026-05-01 08:20:00,952.5303344726562,0.0,0.0,201.57176208496094,0.0,0.0
2026-05-01 08:25:00,965.5608520507812,0.0,0.0,203.1168670654297,0.0,0.0
2026-05-01 08:30:00,980.4867553710938,0.0,0.0,206.8701629638672,0.0,0.0
2026-05-01 08:35:00,994.1519165039062,0.0,0.0,211.208740234375,0.0,0.0
2026-05-01 08:40:00,1003.3754272460938,0.0,0.0,222.27395629882812,0.0,0.0
2026-05-01 08:45:00,963.2630004882812,0.0,0.0,279.56207275390625,0.0,0.0
2026-05-01 08:50:00,953.6320190429688,0.0,0.0,295.576904296875,0.0,0.0
2026-05-01 08:55:00,968.0296020507812,0.0,0.0,298.3272705078125,0.0,0.0
