AÑO,MES,REGIÓN,TARIFA,BASE,INTERMEDIO,SEMIPUNTA,PUNTA,FIJO,CAPACIDAD,HORARIA
2026,Julio,Baja California,PDBT,$2.4510,,,,$41.4900,,NO
2026,Julio,Baja California Sur,PDBT,$3.8040,,,,$41.4900,,NO
2026,Julio,Bajío,PDBT,$3.7190,,,,$42.7200,,NO
2026,Julio,Centro Occidente,PDBT,$3.6620,,,,$25.2500,,NO
2026,Julio,Centro Oriente,PDBT,$3.5730,,,,$33.5400,,NO
2026,Julio,Centro Sur,PDBT,$3.6270,,,,$26.4400,,NO
2026,Julio,Golfo Centro,PDBT,$3.8410,,,,$46.1700,,NO
2026,Julio,Golfo Norte,PDBT,$3.4300,,,,$50.2000,,NO
2026,Julio,Jalisco,PDBT,$4.2550,,,,$33.0700,,NO
2026,Julio,Noroeste,PDBT,$3.2540,,,,$19.7800,,NO
2026,Julio,Norte,PDBT,$3.5580,,,,$111.3700,,NO
2026,Julio,Oriente,PDBT,$3.6880,,,,$63.6300,,NO
2026,Julio,Peninsular,PDBT,$3.8860,,,,$45.2600,,NO
2026,Julio,Sureste,PDBT,$3.7040,,,,$48.7300,,NO
2026,Julio,Valle de México Centro,PDBT,$3.5650,,,,$54.0500,,NO
2026,Julio,Valle de México Norte,PDBT,$3.5940,,,,$70.3400,,NO
2026,Julio,Valle de México Sur,PDBT,$3.6170,,,,$42.2100,,NO
