AÑO,MES,REGIÓN,TARIFA,BASE,INTERMEDIO,SEMIPUNTA,PUNTA,FIJO,CAPACIDAD,HORARIA
2026,Julio,Baja California,GDMTO,$0.6940,,,,$414.9000,$327.9500,NO
2026,Julio,Baja California Sur,GDMTO,$2.2550,,,,$414.9000,$252.1700,NO
2026,Julio,Bajío,GDMTO,$1.4870,,,,$427.1900,$324.6800,NO
2026,Julio,Centro Occidente,GDMTO,$1.3510,,,,$252.5000,$286.1100,NO
2026,Julio,Centro Oriente,GDMTO,$1.4690,,,,$335.3600,$321.9700,NO
2026,Julio,Centro Sur,GDMTO,$1.2250,,,,$264.3800,$252.5000,NO
2026,Julio,Golfo Centro,GDMTO,$1.3120,,,,$461.7500,$308.7200,NO
2026,Julio,Golfo Norte,GDMTO,$1.2260,,,,$502.0300,$327.9500,NO
2026,Julio,Jalisco,GDMTO,$1.3690,,,,$330.6600,$299.5700,NO
2026,Julio,Noroeste,GDMTO,$1.2610,,,,$197.7700,$327.9500,NO
2026,Julio,Norte,GDMTO,$1.2020,,,,$1113.7300,$299.5800,NO
2026,Julio,Oriente,GDMTO,$1.2820,,,,$636.2800,$279.9300,NO
2026,Julio,Peninsular,GDMTO,$1.6770,,,,$452.5800,$318.6600,NO
2026,Julio,Sureste,GDMTO,$1.2380,,,,$487.3100,$248.8000,NO
2026,Julio,Valle de México Centro,GDMTO,$1.5420,,,,$540.4900,$334.4600,NO
2026,Julio,Valle de México Norte,GDMTO,$1.5070,,,,$703.3600,$327.9500,NO
2026,Julio,Valle de México Sur,GDMTO,$1.5550,,,,$422.0700,$335.9900,NO
